Ministry,Actuals 2023,Percentage of Total Expenditure 2023,Revised Estimate 2024,Percentage of Total Expenditure 2024,Budget Estimate 2025,Percentage of Total Expenditure 2025
Ministry of Finance,"? 16,47,226.52",37.113%,"? 18,05,017.67",37.854%,"? 19,39,001.26",38.280%
Ministry of Defence,"? 6,09,504.28",13.733%,"? 6,41,060.00",13.444%,"? 6,81,210.27",13.448%
Ministry of Road Transport and Highways,"? 2,75,985.72",6.218%,"? 2,80,518.80",5.883%,"? 2,87,333.16",5.673%
Ministry of Railways,"? 2,45,791.30",5.538%,"? 2,55,347.81",5.355%,"? 2,55,445.18",5.043%
Ministry of Home Affairs,"? 1,91,805.85",4.322%,"? 2,20,371.24",4.622%,"? 2,33,210.68",4.604%
"Ministry of Consumer Affairs , Food and Public Distribution","? 2,32,496.03",5.238%,"? 2,12,829.01",4.463%,"? 2,15,767.09",4.260%
Ministry of Rural Development,"? 1,63,642.49",3.687%,"? 1,75,878.11",3.688%,"? 1,90,405.53",3.759%
Ministry of Chemicals and Fertilisers,"? 1,91,165.29",4.307%,"? 1,86,653.24",3.914%,"? 1,61,965.21",3.198%
Ministry of Agriculture and Farmers Welfare,"? 1,18,146.55",2.662%,"? 1,41,351.56",2.964%,"? 1,37,756.55",2.720%
Ministry of Education,"? 1,23,364.96",2.780%,"? 1,14,053.55",2.392%,"? 1,28,650.05",2.540%
Ministry of Communications,"? 1,11,339.11",2.509%,"? 1,50,201.35",3.150%,"? 1,08,105.10",2.134%
Ministry of Health and Family Welfare,"? 83,149.49",1.873%,"? 89,379.27",1.874%,"? 99,858.56",1.971%
Ministry of Jal Shakti,"? 95,108.97",2.143%,"? 1,04,142.70",2.184%,"? 99,502.85",1.964%
Ministry of Housing and Urban Affairs,"? 68,564.88",1.545%,"? 63,669.93",1.335%,"? 96,777.00",1.911%
Ministry of Science and Technology,"? 11,558.58",0.260%,"? 14,472.12",0.304%,"? 38,613.32",0.762%
Ministry of Labour and Employment,"? 11,385.62",0.257%,"? 18,307.22",0.384%,"? 32,646.19",0.645%
Ministry of Women and Child Development,"? 24,695.56",0.556%,"? 23,182.98",0.486%,"? 26,889.69",0.531%
Ministry of New and Renewable Energy,"? 7,928.89",0.179%,"? 17,298.44",0.363%,"? 26,549.38",0.524%
Ministry of Electronics and Information Technology,"? 12,766.34",0.288%,"? 17,566.31",0.368%,"? 26,026.25",0.514%
Ministry of Atomic Energy,"? 25,882.88",0.583%,"? 24,450.66",0.513%,"? 24,049.10",0.475%
"Ministry of Micro, Small and Medium Enterprises","? 21,783.28",0.491%,"? 17,306.70",0.363%,"? 23,168.15",0.457%
Ministry of Power,"? 16,326.61",0.368%,"? 19,845.00",0.416%,"? 21,847.00",0.431%
Ministry of External Affairs,"? 28,914.51",0.651%,"? 25,277.20",0.530%,"? 20,516.61",0.405%
Ministry of Petroleum and Natural Gas,"? 14,328.30",0.323%,"? 17,367.70",0.364%,"? 19,326.90",0.382%
Ministry of Commerce and Industry,"? 12,371.78",0.279%,"? 13,635.00",0.286%,"? 18,446.05",0.364%
Ministry of Tribal Affairs,"? 7,511.64",0.169%,"? 10,237.33",0.215%,"? 14,925.81",0.295%
